slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,662000,40.59036896796897,1.0,1.0
nEvTau3Mu,233519,14.31816068131593,0.3527477341389728,0.3527477341389728
nTriggerBit,191573,11.746251894714078,0.28938519637462234,0.28938519637462234
nEvTauMediumID,158918,9.744018513069022,0.2400574018126888,0.2400574018126888
nEvTriggerFired_Total,158400,9.712257469072938,0.23927492447129908,0.23927492447129908
nEvDiMuResVeto,152777,9.367484591872199,0.23078096676737161,0.23078096676737161
nEvReinforcedHLT,150717,9.241176192968851,0.22766918429003022,0.22766918429003022
LxyS,118684,7.2770805900217965,0.1792809667673716,0.1792809667673716
mass_range,118342,7.256110943213571,0.1787643504531722,0.1787643504531722
phi_veto,104663,6.417386385641294,0.1581012084592145,0.1581012084592145
BDT,49157,3.0140494975203183,0.07425528700906345,0.07425528700906345
